#drkcfile delivery-date activation-date delivery-mjd activation-mjd useafter useafter-mjd
zcv20050i_dkc.fits 2016-01-15 2016-02-23 57402.489583 57441.766667 2011-02-15 55607.476389
zcv20051i_dkc.fits 2016-01-15 2016-02-23 57402.489583 57441.766667 2011-02-16 55608.009028
zcv2005ni_dkc.fits 2016-01-19 2016-02-23 57406.509028 57441.766667 2011-02-17 55609.011111
zcv2005oi_dkc.fits 2016-01-19 2016-02-23 57406.509028 57441.766667 2011-02-18 55610.0
zcv2005pi_dkc.fits 2016-01-19 2016-02-23 57406.509722 57441.766667 2011-02-19 55611.142361
zcv2005qi_dkc.fits 2016-01-19 2016-02-23 57406.509722 57441.766667 2011-02-20 55612.0
zcv2005ri_dkc.fits 2016-01-19 2016-02-23 57406.509722 57441.766667 2011-02-21 55613.215278
zcv2005si_dkc.fits 2016-01-19 2016-02-23 57406.509722 57441.766667 2011-02-22 55614.014583
zcv2005ti_dkc.fits 2016-01-19 2016-02-23 57406.509722 57441.766667 2011-02-23 55615.006944
zcv20060i_dkc.fits 2016-01-19 2016-02-23 57406.509722 57441.766667 2011-02-24 55616.00625
zcv20061i_dkc.fits 2016-01-19 2016-02-23 57406.509722 57441.766667 2011-02-25 55617.010417
zcv20062i_dkc.fits 2016-01-19 2016-02-23 57406.509722 57441.766667 2011-02-26 55618.0
zcv20063i_dkc.fits 2016-01-19 2016-02-23 57406.509722 57441.766667 2011-02-27 55619.094444
zcv20064i_dkc.fits 2016-01-19 2016-02-23 57406.510417 57441.766667 2011-02-28 55620.207639
zcv20065i_dkc.fits 2016-01-19 2016-02-23 57406.510417 57441.766667 2011-03-03 55623.672917
zcv20066i_dkc.fits 2016-01-19 2016-02-23 57406.510417 57441.766667 2011-03-05 55625.057639
zcv20067i_dkc.fits 2016-01-19 2016-02-23 57406.510417 57441.766667 2011-03-06 55626.050694
zcv20068i_dkc.fits 2016-01-19 2016-02-23 57406.510417 57441.766667 2011-03-07 55627.055556
zcv20069i_dkc.fits 2016-01-19 2016-02-23 57406.510417 57441.766667 2011-03-08 55628.469444
zcv2006ai_dkc.fits 2016-01-19 2016-02-23 57406.510417 57441.766667 2011-03-09 55629.354167
zcv2006bi_dkc.fits 2016-01-19 2016-02-23 57406.510417 57441.766667 2011-03-10 55630.198611
zcv2006ci_dkc.fits 2016-01-19 2016-02-23 57406.511111 57441.766667 2011-03-11 55631.284722
zcv2006di_dkc.fits 2016-01-19 2016-02-23 57406.511111 57441.766667 2011-03-12 55632.044444
zcv2006ei_dkc.fits 2016-01-19 2016-02-23 57406.511111 57441.766667 2011-03-13 55633.132639
zcv2006fi_dkc.fits 2016-01-19 2016-02-23 57406.511111 57441.766667 2011-03-14 55634.124306
zcv2006gi_dkc.fits 2016-01-19 2016-02-23 57406.511111 57441.766667 2011-03-15 55635.249306
zcv2006hi_dkc.fits 2016-01-19 2016-02-23 57406.511111 57441.766667 2011-03-16 55636.131944
zcv2006ii_dkc.fits 2016-01-19 2016-02-23 57406.511111 57441.766667 2011-03-17 55637.311806
zcv2006ji_dkc.fits 2016-01-19 2016-02-23 57406.511111 57441.766667 2011-03-18 55638.052778
zcv2006ki_dkc.fits 2016-01-19 2016-02-23 57406.511806 57441.766667 2011-03-19 55639.242361
01j1842ni_dkc.fits 2016-01-19 2016-02-23 57406.582639 57441.766667 2011-03-20 55640.240972
zcv2008bi_dkc.fits 2016-01-19 2016-02-23 57406.582639 57441.766667 2011-03-21 55641.248611
zcv2008ci_dkc.fits 2016-01-19 2016-02-23 57406.582639 57441.766667 2011-03-22 55642.111111
zcv2008di_dkc.fits 2016-01-19 2016-02-23 57406.583333 57441.766667 2011-03-23 55643.263889
zcv2008ei_dkc.fits 2016-01-19 2016-02-23 57406.583333 57441.766667 2011-03-24 55644.053472
zcv2008fi_dkc.fits 2016-01-19 2016-02-23 57406.583333 57441.766667 2011-03-25 55645.088889
zcv2008gi_dkc.fits 2016-01-19 2016-02-23 57406.583333 57441.766667 2011-03-26 55646.086806
zcv2008hi_dkc.fits 2016-01-19 2016-02-23 57406.583333 57441.766667 2011-03-30 55650.66875
zcv2008ii_dkc.fits 2016-01-19 2016-02-23 57406.583333 57441.766667 2011-04-01 55652.070833
zcv2008ji_dkc.fits 2016-01-19 2016-02-23 57406.583333 57441.766667 2011-04-02 55653.038194
zcv2008ki_dkc.fits 2016-01-19 2016-02-23 57406.584028 57441.766667 2011-04-03 55654.038889
zcv2008li_dkc.fits 2016-01-19 2016-02-23 57406.584028 57441.766667 2011-04-04 55655.177083
zcv2008mi_dkc.fits 2016-01-19 2016-02-23 57406.584028 57441.766667 2011-04-05 55656.043056
zcv2008ni_dkc.fits 2016-01-19 2016-02-23 57406.584028 57441.766667 2011-04-06 55657.035417
zcv2008oi_dkc.fits 2016-01-19 2016-02-23 57406.584028 57441.766667 2011-04-07 55658.069444
zcv2008pi_dkc.fits 2016-01-19 2016-02-23 57406.584028 57441.766667 2011-04-08 55659.054861
zcv2008qi_dkc.fits 2016-01-19 2016-02-23 57406.584028 57441.766667 2011-04-09 55660.043056
zcv2008ri_dkc.fits 2016-01-19 2016-02-23 57406.584028 57441.766667 2011-04-10 55661.036806
zcv2008ti_dkc.fits 2016-01-19 2016-02-23 57406.584722 57441.766667 2011-04-11 55662.159028
zcv20090i_dkc.fits 2016-01-19 2016-02-23 57406.584722 57441.766667 2011-04-12 55663.463889
zcv20091i_dkc.fits 2016-01-19 2016-02-23 57406.584722 57441.766667 2011-04-13 55664.046528
zcv20092i_dkc.fits 2016-01-19 2016-02-23 57406.584722 57441.766667 2011-04-14 55665.040972
zcv20093i_dkc.fits 2016-01-19 2016-02-23 57406.584722 57441.766667 2011-04-15 55666.35
zcv20094i_dkc.fits 2016-01-19 2016-02-23 57406.584722 57441.766667 2011-04-16 55667.277083
zcv20095i_dkc.fits 2016-01-19 2016-02-23 57406.584722 57441.766667 2011-04-17 55668.345833
01j19376i_dkc.fits 2016-01-19 2016-02-23 57406.667361 57441.766667 2011-04-18 55669.34375
zcv2011li_dkc.fits 2016-01-19 2016-02-23 57406.667361 57441.766667 2011-04-19 55670.047917
zcv2011mi_dkc.fits 2016-01-19 2016-02-23 57406.667361 57441.766667 2011-04-20 55671.065278
zcv2011ni_dkc.fits 2016-01-19 2016-02-23 57406.667361 57441.766667 2011-04-21 55672.272222
zcv2011oi_dkc.fits 2016-01-19 2016-02-23 57406.667361 57441.766667 2011-04-22 55673.336111
zcv2011pi_dkc.fits 2016-01-19 2016-02-23 57406.667361 57441.766667 2011-04-23 55674.0625
zcv2011qi_dkc.fits 2016-01-19 2016-02-23 57406.667361 57441.766667 2011-04-24 55675.877778
zcv2011ri_dkc.fits 2016-01-19 2016-02-23 57406.668056 57441.766667 2011-04-28 55679.213194
zcv2011si_dkc.fits 2016-01-19 2016-02-23 57406.668056 57441.766667 2011-04-30 55681.253472
zcv2011ti_dkc.fits 2016-01-19 2016-02-23 57406.668056 57441.766667 2011-05-01 55682.00625
zcv20120i_dkc.fits 2016-01-19 2016-02-23 57406.668056 57441.766667 2011-05-02 55683.790972
zcv20121i_dkc.fits 2016-01-19 2016-02-23 57406.668056 57441.766667 2011-05-04 55685.125694
zcv20122i_dkc.fits 2016-01-19 2016-02-23 57406.668056 57441.766667 2011-05-05 55686.0
zcv20123i_dkc.fits 2016-01-19 2016-02-23 57406.668056 57441.766667 2011-05-06 55687.177778
zcv20124i_dkc.fits 2016-01-19 2016-02-23 57406.668056 57441.766667 2011-05-07 55688.065972
zcv20125i_dkc.fits 2016-01-19 2016-02-23 57406.66875 57441.766667 2011-05-08 55689.164583
zcv20126i_dkc.fits 2016-01-19 2016-02-23 57406.66875 57441.766667 2011-05-09 55690.229861
zcv20127i_dkc.fits 2016-01-19 2016-02-23 57406.66875 57441.766667 2011-05-10 55691.05
zcv20128i_dkc.fits 2016-01-19 2016-02-23 57406.66875 57441.766667 2011-05-11 55692.277083
zcv20129i_dkc.fits 2016-01-19 2016-02-23 57406.66875 57441.766667 2011-05-12 55693.639583
zcv2012ai_dkc.fits 2016-01-19 2016-02-23 57406.66875 57441.766667 2011-05-14 55695.093056
zcv2012bi_dkc.fits 2016-01-19 2016-02-23 57406.66875 57441.766667 2011-05-15 55696.016667
zcv2012ci_dkc.fits 2016-01-19 2016-02-23 57406.66875 57441.766667 2011-05-16 55697.088194
zcv2012di_dkc.fits 2016-01-19 2016-02-23 57406.669444 57441.766667 2011-05-17 55698.074306
zcv2012ei_dkc.fits 2016-01-19 2016-02-23 57406.669444 57441.766667 2011-05-18 55699.011111
zcv2012fi_dkc.fits 2016-01-19 2016-02-23 57406.669444 57441.766667 2011-05-19 55700.007639
01j21464i_dkc.fits 2016-01-19 2016-02-23 57406.716667 57441.766667 2011-05-20 55701.006944
zcv20150i_dkc.fits 2016-01-19 2016-02-23 57406.716667 57441.766667 2011-05-21 55702.003472
zcv20151i_dkc.fits 2016-01-19 2016-02-23 57406.716667 57441.766667 2011-05-22 55703.0125
zcv20152i_dkc.fits 2016-01-19 2016-02-23 57406.717361 57441.766667 2011-05-23 55704.160417
zcv20153i_dkc.fits 2016-01-19 2016-02-23 57406.717361 57441.766667 2011-05-26 55707.527083
zcv20154i_dkc.fits 2016-01-19 2016-02-23 57406.717361 57441.766667 2011-05-28 55709.706944
zcv20155i_dkc.fits 2016-01-19 2016-02-23 57406.717361 57441.766667 2011-05-29 55710.003472
zcv20156i_dkc.fits 2016-01-19 2016-02-23 57406.717361 57441.766667 2011-05-30 55711.561111
zcv20157i_dkc.fits 2016-01-19 2016-02-23 57406.717361 57441.766667 2011-05-30 55711.940278
zcv20158i_dkc.fits 2016-01-19 2016-02-23 57406.717361 57441.766667 2011-06-01 55713.129861
zcv20159i_dkc.fits 2016-01-19 2016-02-23 57406.718056 57441.766667 2011-06-02 55714.109722
zcv2015ai_dkc.fits 2016-01-19 2016-02-23 57406.718056 57441.766667 2011-06-03 55715.009722
zcv2015bi_dkc.fits 2016-01-19 2016-02-23 57406.718056 57441.766667 2011-06-04 55716.619444
zcv2015ci_dkc.fits 2016-01-19 2016-02-23 57406.718056 57441.766667 2011-06-05 55717.093056
zcv2015di_dkc.fits 2016-01-19 2016-02-23 57406.718056 57441.766667 2011-06-06 55718.268056
zcv2015ei_dkc.fits 2016-01-19 2016-02-23 57406.718056 57441.766667 2011-06-07 55719.038889
zcv2015fi_dkc.fits 2016-01-19 2016-02-23 57406.71875 57441.766667 2011-06-08 55720.19375
zcv2015gi_dkc.fits 2016-01-19 2016-02-23 57406.71875 57441.766667 2011-06-09 55721.120833
zcv2015hi_dkc.fits 2016-01-19 2016-02-23 57406.71875 57441.766667 2011-06-10 55722.013194
zcv2015ii_dkc.fits 2016-01-19 2016-02-23 57406.71875 57441.766667 2011-06-11 55723.058333
zcv2015ji_dkc.fits 2016-01-19 2016-02-23 57406.71875 57441.766667 2011-06-12 55724.115972
zcv2015ki_dkc.fits 2016-01-19 2016-02-23 57406.71875 57441.766667 2011-06-13 55725.184028
zcv2015li_dkc.fits 2016-01-19 2016-02-23 57406.719444 57441.766667 2011-06-14 55726.0
zcv2015mi_dkc.fits 2016-01-19 2016-02-23 57406.719444 57441.766667 2011-06-15 55727.148611
zcv2015ni_dkc.fits 2016-01-19 2016-02-23 57406.719444 57441.766667 2011-06-16 55728.065972
zcv20189i_dkc.fits 2016-01-20 2016-02-23 57407.54375 57441.766667 2011-06-17 55729.0
zcv2018ai_dkc.fits 2016-01-20 2016-02-23 57407.544444 57441.766667 2011-06-18 55730.034722
zcv2018bi_dkc.fits 2016-01-20 2016-02-23 57407.544444 57441.766667 2011-06-19 55731.2
zcv2018ci_dkc.fits 2016-01-20 2016-02-23 57407.544444 57441.766667 2011-06-20 55732.030556
zcv2018di_dkc.fits 2016-01-20 2016-02-23 57407.544444 57441.766667 2011-06-24 55736.088194
zcv2018ei_dkc.fits 2016-01-20 2016-02-23 57407.544444 57441.766667 2011-06-25 55737.495139
zcv2018fi_dkc.fits 2016-01-20 2016-02-23 57407.544444 57441.766667 2011-06-26 55738.699306
zcv2018gi_dkc.fits 2016-01-20 2016-02-23 57407.544444 57441.766667 2011-06-27 55739.55
zcv2018hi_dkc.fits 2016-01-20 2016-02-23 57407.545139 57441.766667 2011-06-29 55741.01875
zcv2018ii_dkc.fits 2016-01-20 2016-02-23 57407.545139 57441.766667 2011-06-30 55742.265278
zcv2018ji_dkc.fits 2016-01-20 2016-02-23 57407.545139 57441.766667 2011-07-01 55743.022222
zcv2018ki_dkc.fits 2016-01-20 2016-02-23 57407.545139 57441.766667 2011-07-01 55743.60625
zcv2018li_dkc.fits 2016-01-20 2016-02-23 57407.545139 57441.766667 2011-07-02 55744.794444
zcv2018mi_dkc.fits 2016-01-20 2016-02-23 57407.545139 57441.766667 2011-07-04 55746.1875
zcv2018ni_dkc.fits 2016-01-20 2016-02-23 57407.545139 57441.766667 2011-07-04 55746.579167
zcv2018oi_dkc.fits 2016-01-20 2016-02-23 57407.545833 57441.766667 2011-07-05 55747.545833
zcv2018pi_dkc.fits 2016-01-20 2016-02-23 57407.545833 57441.766667 2011-07-07 55749.188889
zcv2018qi_dkc.fits 2016-01-20 2016-02-23 57407.545833 57441.766667 2011-07-08 55750.00625
zcv2018ri_dkc.fits 2016-01-20 2016-02-23 57407.545833 57441.766667 2011-07-09 55751.05625
zcv2018si_dkc.fits 2016-01-20 2016-02-23 57407.545833 57441.766667 2011-07-10 55752.0
zcv2006li_dkc.fits 2016-01-19 2016-02-23 57406.511806 57441.766667 2011-07-11 55753.023611
zcv2006mi_dkc.fits 2016-01-19 2016-02-23 57406.511806 57441.766667 2011-07-12 55754.0
zcv2006ni_dkc.fits 2016-01-19 2016-02-23 57406.511806 57441.766667 2011-07-13 55755.002778
zcv2006oi_dkc.fits 2016-01-19 2016-02-23 57406.511806 57441.766667 2011-07-13 55755.90625
zcv2006pi_dkc.fits 2016-01-19 2016-02-23 57406.511806 57441.766667 2011-07-15 55757.006944
zcv2006qi_dkc.fits 2016-01-19 2016-02-23 57406.511806 57441.766667 2011-07-16 55758.259722
zcv2006ri_dkc.fits 2016-01-19 2016-02-23 57406.511806 57441.766667 2011-07-16 55758.714583
zcv2006si_dkc.fits 2016-01-19 2016-02-23 57406.511806 57441.766667 2011-07-18 55760.204167
zcv2006ti_dkc.fits 2016-01-19 2016-02-23 57406.5125 57441.766667 2011-07-21 55763.702083
zcv20070i_dkc.fits 2016-01-19 2016-02-23 57406.5125 57441.766667 2011-07-24 55766.00625
zcv20071i_dkc.fits 2016-01-19 2016-02-23 57406.5125 57441.766667 2011-07-25 55767.432639
zcv20072i_dkc.fits 2016-01-19 2016-02-23 57406.5125 57441.766667 2011-07-26 55768.0875
zcv20073i_dkc.fits 2016-01-19 2016-02-23 57406.5125 57441.766667 2011-07-27 55769.463889
zcv20074i_dkc.fits 2016-01-19 2016-02-23 57406.5125 57441.766667 2011-07-29 55771.390278
zcv20075i_dkc.fits 2016-01-19 2016-02-23 57406.5125 57441.766667 2011-07-30 55772.567361
zcv20076i_dkc.fits 2016-01-19 2016-02-23 57406.5125 57441.766667 2011-07-31 55773.252778
zcv20077i_dkc.fits 2016-01-19 2016-02-23 57406.513194 57441.766667 2011-08-01 55774.175694
zcv20078i_dkc.fits 2016-01-19 2016-02-23 57406.513194 57441.766667 2011-08-02 55775.261111
zcv20096i_dkc.fits 2016-01-19 2016-02-23 57406.584722 57441.766667 2011-08-03 55776.588889
zcv20097i_dkc.fits 2016-01-19 2016-02-23 57406.585417 57441.766667 2011-08-04 55777.502778
zcv20098i_dkc.fits 2016-01-19 2016-02-23 57406.585417 57441.766667 2011-08-05 55778.167361
zcv20099i_dkc.fits 2016-01-19 2016-02-23 57406.585417 57441.766667 2011-08-06 55779.392361
zcv2009ai_dkc.fits 2016-01-19 2016-02-23 57406.585417 57441.766667 2011-08-07 55780.5
zcv2009bi_dkc.fits 2016-01-19 2016-02-23 57406.585417 57441.766667 2011-08-08 55781.513889
zcv2009ci_dkc.fits 2016-01-19 2016-02-23 57406.585417 57441.766667 2011-08-09 55782.386111
zcv2009di_dkc.fits 2016-01-19 2016-02-23 57406.585417 57441.766667 2011-08-10 55783.094444
zcv2009ei_dkc.fits 2016-01-19 2016-02-23 57406.586111 57441.766667 2011-08-11 55784.110417
zcv2009fi_dkc.fits 2016-01-19 2016-02-23 57406.586111 57441.766667 2011-08-12 55785.447917
zcv2009gi_dkc.fits 2016-01-19 2016-02-23 57406.586111 57441.766667 2011-08-13 55786.218056
zcv2009hi_dkc.fits 2016-01-19 2016-02-23 57406.586111 57441.766667 2011-08-14 55787.099306
zcv2009ii_dkc.fits 2016-01-19 2016-02-23 57406.586111 57441.766667 2011-08-15 55788.542361
zcv2009ji_dkc.fits 2016-01-19 2016-02-23 57406.586111 57441.766667 2011-08-19 55792.527778
zcv2009ki_dkc.fits 2016-01-19 2016-02-23 57406.586111 57441.766667 2011-08-21 55794.125694
zcv2009li_dkc.fits 2016-01-19 2016-02-23 57406.586806 57441.766667 2011-08-22 55795.256944
zcv2009mi_dkc.fits 2016-01-19 2016-02-23 57406.586806 57441.766667 2011-08-23 55796.56875
zcv2009ni_dkc.fits 2016-01-19 2016-02-23 57406.586806 57441.766667 2011-08-24 55797.032639
zcv2009oi_dkc.fits 2016-01-19 2016-02-23 57406.586806 57441.766667 2011-08-25 55798.565278
zcv2009pi_dkc.fits 2016-01-19 2016-02-23 57406.586806 57441.766667 2011-08-26 55799.201389
zcv2009qi_dkc.fits 2016-01-19 2016-02-23 57406.586806 57441.766667 2011-08-27 55800.0
zcv2009ri_dkc.fits 2016-01-19 2016-02-23 57406.586806 57441.766667 2011-08-28 55801.002778
zcv2009si_dkc.fits 2016-01-19 2016-02-23 57406.586806 57441.766667 2011-08-29 55802.020833
zcv2009ti_dkc.fits 2016-01-19 2016-02-23 57406.5875 57441.766667 2011-08-30 55803.011806
zcv20100i_dkc.fits 2016-01-19 2016-02-23 57406.5875 57441.766667 2011-08-31 55804.197917
zcv2012gi_dkc.fits 2016-01-19 2016-02-23 57406.669444 57441.766667 2011-09-01 55805.053472
zcv2012hi_dkc.fits 2016-01-19 2016-02-23 57406.669444 57441.766667 2011-09-02 55806.011111
zcv2012ii_dkc.fits 2016-01-19 2016-02-23 57406.669444 57441.766667 2011-09-03 55807.340972
zcv2012ji_dkc.fits 2016-01-19 2016-02-23 57406.669444 57441.766667 2011-09-04 55808.043056
zcv2012ki_dkc.fits 2016-01-19 2016-02-23 57406.669444 57441.766667 2011-09-05 55809.222917
zcv2012li_dkc.fits 2016-01-19 2016-02-23 57406.670139 57441.766667 2011-09-06 55810.200694
zcv2012mi_dkc.fits 2016-01-19 2016-02-23 57406.670139 57441.766667 2011-09-07 55811.093056
zcv2012ni_dkc.fits 2016-01-19 2016-02-23 57406.670139 57441.766667 2011-09-08 55812.0
zcv2012oi_dkc.fits 2016-01-19 2016-02-23 57406.670139 57441.766667 2011-09-09 55813.285417
zcv2012pi_dkc.fits 2016-01-19 2016-02-23 57406.670139 57441.766667 2011-09-10 55814.393056
zcv2012qi_dkc.fits 2016-01-19 2016-02-23 57406.670139 57441.766667 2011-09-11 55815.070833
zcv2012ri_dkc.fits 2016-01-19 2016-02-23 57406.670139 57441.766667 2011-09-12 55816.934028
zcv2012si_dkc.fits 2016-01-19 2016-02-23 57406.670139 57441.766667 2011-09-12 55816.945833
zcv2012ti_dkc.fits 2016-01-19 2016-02-23 57406.670833 57441.766667 2011-09-14 55818.034028
zcv20130i_dkc.fits 2016-01-19 2016-02-23 57406.670833 57441.766667 2011-09-18 55822.211111
zcv20131i_dkc.fits 2016-01-19 2016-02-23 57406.670833 57441.766667 2011-09-20 55824.032639
zcv20132i_dkc.fits 2016-01-19 2016-02-23 57406.670833 57441.766667 2011-09-21 55825.022222
zcv20133i_dkc.fits 2016-01-19 2016-02-23 57406.670833 57441.766667 2011-09-22 55826.088889
zcv20134i_dkc.fits 2016-01-19 2016-02-23 57406.670833 57441.766667 2011-09-23 55827.023611
zcv20135i_dkc.fits 2016-01-19 2016-02-23 57406.670833 57441.766667 2011-09-24 55828.014583
zcv20136i_dkc.fits 2016-01-19 2016-02-23 57406.670833 57441.766667 2011-09-25 55829.089583
zcv20137i_dkc.fits 2016-01-19 2016-02-23 57406.671528 57441.766667 2011-09-26 55830.15
zcv20138i_dkc.fits 2016-01-19 2016-02-23 57406.671528 57441.766667 2011-09-27 55831.015972
zcv20139i_dkc.fits 2016-01-19 2016-02-23 57406.671528 57441.766667 2011-09-29 55833.024306
zcv2015oi_dkc.fits 2016-01-19 2016-02-23 57406.719444 57441.766667 2011-09-30 55834.025694
zcv2015pi_dkc.fits 2016-01-19 2016-02-23 57406.719444 57441.766667 2011-10-01 55835.090278
zcv2015qi_dkc.fits 2016-01-19 2016-02-23 57406.719444 57441.766667 2011-10-01 55835.999306
zcv2015ri_dkc.fits 2016-01-19 2016-02-23 57406.719444 57441.766667 2011-10-03 55837.023611
zcv2015si_dkc.fits 2016-01-19 2016-02-23 57406.720139 57441.766667 2011-10-04 55838.150694
zcv2015ti_dkc.fits 2016-01-19 2016-02-23 57406.720139 57441.766667 2011-10-05 55839.127778
zcv20160i_dkc.fits 2016-01-19 2016-02-23 57406.720139 57441.766667 2011-10-06 55840.238194
zcv20161i_dkc.fits 2016-01-19 2016-02-23 57406.720139 57441.766667 2011-10-07 55841.009722
zcv20162i_dkc.fits 2016-01-19 2016-02-23 57406.720139 57441.766667 2011-10-08 55842.079861
zcv20163i_dkc.fits 2016-01-19 2016-02-23 57406.720139 57441.766667 2011-10-09 55843.008333
zcv20164i_dkc.fits 2016-01-19 2016-02-23 57406.720139 57441.766667 2011-10-10 55844.19375
zcv20165i_dkc.fits 2016-01-19 2016-02-23 57406.720833 57441.766667 2011-10-11 55845.097222
zcv20166i_dkc.fits 2016-01-19 2016-02-23 57406.720833 57441.766667 2011-10-15 55849.260417
zcv20167i_dkc.fits 2016-01-19 2016-02-23 57406.720833 57441.766667 2011-10-17 55851.252778
zcv20168i_dkc.fits 2016-01-19 2016-02-23 57406.720833 57441.766667 2011-10-18 55852.003472
zcv20169i_dkc.fits 2016-01-19 2016-02-23 57406.720833 57441.766667 2011-10-19 55853.004861
zcv2016ai_dkc.fits 2016-01-19 2016-02-23 57406.720833 57441.766667 2011-10-20 55854.55
zcv2016bi_dkc.fits 2016-01-19 2016-02-23 57406.721528 57441.766667 2011-10-21 55855.043056
zcv2016ci_dkc.fits 2016-01-19 2016-02-23 57406.721528 57441.766667 2011-10-22 55856.009028
zcv2016di_dkc.fits 2016-01-19 2016-02-23 57406.721528 57441.766667 2011-10-23 55857.120139
zcv2016ei_dkc.fits 2016-01-19 2016-02-23 57406.721528 57441.766667 2011-10-24 55858.359028
zcv2016fi_dkc.fits 2016-01-19 2016-02-23 57406.721528 57441.766667 2011-10-25 55859.027083
zcv2016gi_dkc.fits 2016-01-19 2016-02-23 57406.721528 57441.766667 2011-10-26 55860.097222
zcv2016hi_dkc.fits 2016-01-19 2016-02-23 57406.721528 57441.766667 2011-10-27 55861.019444
zcv2016ii_dkc.fits 2016-01-19 2016-02-23 57406.722222 57441.766667 2011-10-29 55863.309028
zcv2016ji_dkc.fits 2016-01-19 2016-02-23 57406.722222 57441.766667 2011-10-30 55864.0
zcv2018ti_dkc.fits 2016-01-20 2016-02-23 57407.545833 57441.766667 2011-10-30 55864.718056
zcv20190i_dkc.fits 2016-01-20 2016-02-23 57407.545833 57441.766667 2011-10-31 55865.639583
zcv20191i_dkc.fits 2016-01-20 2016-02-23 57407.545833 57441.766667 2011-11-02 55867.022222
zcv20192i_dkc.fits 2016-01-20 2016-02-23 57407.546528 57441.766667 2011-11-03 55868.014583
zcv20193i_dkc.fits 2016-01-20 2016-02-23 57407.546528 57441.766667 2011-11-03 55868.843056
zcv20194i_dkc.fits 2016-01-20 2016-02-23 57407.546528 57441.766667 2011-11-05 55870.442361
zcv20195i_dkc.fits 2016-01-20 2016-02-23 57407.546528 57441.766667 2011-11-06 55871.084028
zcv20196i_dkc.fits 2016-01-20 2016-02-23 57407.546528 57441.766667 2011-11-07 55872.690278
zcv20197i_dkc.fits 2016-01-20 2016-02-23 57407.546528 57441.766667 2011-11-11 55876.292361
zcv20198i_dkc.fits 2016-01-20 2016-02-23 57407.546528 57441.766667 2011-11-13 55878.010417
zcv20199i_dkc.fits 2016-01-20 2016-02-23 57407.547222 57441.766667 2011-11-14 55879.419444
zcv2019ai_dkc.fits 2016-01-20 2016-02-23 57407.547222 57441.766667 2011-11-15 55880.013889
zcv2019bi_dkc.fits 2016-01-20 2016-02-23 57407.547222 57441.766667 2011-11-16 55881.09375
zcv2019ci_dkc.fits 2016-01-20 2016-02-23 57407.547222 57441.766667 2011-11-17 55882.0
zcv2019di_dkc.fits 2016-01-20 2016-02-23 57407.547222 57441.766667 2011-11-18 55883.161806
zcv2019ei_dkc.fits 2016-01-20 2016-02-23 57407.547222 57441.766667 2011-11-19 55884.191667
zcv2019fi_dkc.fits 2016-01-20 2016-02-23 57407.547222 57441.766667 2011-11-20 55885.065278
zcv2019gi_dkc.fits 2016-01-20 2016-02-23 57407.547222 57441.766667 2011-11-21 55886.378472
zcv2019hi_dkc.fits 2016-01-20 2016-02-23 57407.547917 57441.766667 2011-11-22 55887.002778
zcv2019ii_dkc.fits 2016-01-20 2016-02-23 57407.547917 57441.766667 2011-11-23 55888.072222
zcv2019ji_dkc.fits 2016-01-20 2016-02-23 57407.547917 57441.766667 2011-11-24 55889.011111
zcv2019ki_dkc.fits 2016-01-20 2016-02-23 57407.547917 57441.766667 2011-11-25 55890.101389
zcv20079i_dkc.fits 2016-01-19 2016-02-23 57406.513194 57441.766667 2011-11-26 55891.002778
zcv2007ai_dkc.fits 2016-01-19 2016-02-23 57406.513194 57441.766667 2011-11-27 55892.178472
zcv2007bi_dkc.fits 2016-01-19 2016-02-23 57406.513194 57441.766667 2011-11-28 55893.238194
zcv2007ci_dkc.fits 2016-01-19 2016-02-23 57406.513194 57441.766667 2011-11-29 55894.095139
zcv2007di_dkc.fits 2016-01-19 2016-02-23 57406.513194 57441.766667 2011-11-30 55895.258333
zcv2007ei_dkc.fits 2016-01-19 2016-02-23 57406.513194 57441.766667 2011-11-30 55895.965972
zcv2007fi_dkc.fits 2016-01-19 2016-02-23 57406.513889 57441.766667 2011-12-02 55897.171528
zcv2007gi_dkc.fits 2016-01-19 2016-02-23 57406.513889 57441.766667 2011-12-05 55900.946528
zcv2007hi_dkc.fits 2016-01-19 2016-02-23 57406.513889 57441.766667 2011-12-08 55903.825694
zcv2007ii_dkc.fits 2016-01-19 2016-02-23 57406.513889 57441.766667 2011-12-10 55905.375694
zcv2007ji_dkc.fits 2016-01-19 2016-02-23 57406.513889 57441.766667 2011-12-11 55906.5125
zcv2007ki_dkc.fits 2016-01-19 2016-02-23 57406.513889 57441.766667 2011-12-12 55907.510417
zcv2007li_dkc.fits 2016-01-19 2016-02-23 57406.513889 57441.766667 2011-12-13 55908.507639
zcv2007mi_dkc.fits 2016-01-19 2016-02-23 57406.513889 57441.766667 2011-12-14 55909.840278
zcv2007ni_dkc.fits 2016-01-19 2016-02-23 57406.514583 57441.766667 2011-12-15 55910.363194
zcv2007oi_dkc.fits 2016-01-19 2016-02-23 57406.514583 57441.766667 2011-12-16 55911.564583
zcv20101i_dkc.fits 2016-01-19 2016-02-23 57406.5875 57441.766667 2011-12-17 55912.561806
zcv20102i_dkc.fits 2016-01-19 2016-02-23 57406.5875 57441.766667 2011-12-18 55913.925694
zcv20103i_dkc.fits 2016-01-19 2016-02-23 57406.5875 57441.766667 2011-12-19 55914.445833
zcv20104i_dkc.fits 2016-01-19 2016-02-23 57406.5875 57441.766667 2011-12-20 55915.552778
